model,split,method,seed,forget_leakage,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget,n_retain
Llama-3.2-1B-Instruct,forget10,RMU,1337,0.315,1.483,1.39,0.495,1.971,400,617
Llama-3.2-1B-Instruct,forget10,RMU,42,0.217,1.517,1.292,0.237,1.976,400,617
Llama-3.2-1B-Instruct,forget10,RMU,456,0.328,1.493,1.389,0.487,1.974,400,617
Llama-3.2-1B-Instruct,forget10,RMU,789,0.255,1.507,1.338,0.345,1.982,400,617
Llama-3.2-1B-Instruct,forget10,BLURNPO,123,0.13,0.135,0.266,0.315,0.235,400,617
Llama-3.2-1B-Instruct,forget10,BLURNPO,42,0.08,0.123,0.599,0.632,0.577,400,617
Llama-3.2-1B-Instruct,forget10,BLURNPO,456,0.113,0.18,0.753,0.745,0.759,400,617
Llama-3.2-1B-Instruct,forget10,BLURNPO,789,0.25,0.24,0.181,0.235,0.146,400,617
Llama-3.2-1B-Instruct,forget10,BLURNPO,1337,0.735,1.109,1.916,1.913,1.919,400,617
Llama-3.2-1B-Instruct,forget10,PDU,42,0.055,1.564,1.238,0.1,1.976,400,617
Llama-3.2-1B-Instruct,forget10,PDU,123,0.04,1.564,1.229,0.083,1.972,400,617
Llama-3.2-1B-Instruct,forget10,PDU,456,0.03,1.553,1.234,0.087,1.977,400,617
Llama-3.2-1B-Instruct,forget10,PDU,789,0.037,1.571,1.243,0.098,1.985,400,617
Llama-3.2-1B-Instruct,forget10,PDU,1337,0.05,1.583,1.23,0.085,1.972,400,617
Llama-3.2-1B-Instruct,forget01,LoRABiAL_lr2e5_ES,0,0.05,1.549,1.828,0.1,1.94,40,617
Llama-3.2-1B-Instruct,forget01,LoRABiAL_lr2e5_T150,0,0.05,1.596,1.857,0.1,1.971,40,617
Llama-3.2-1B-Instruct,forget01,LoRABiAL_lr3e5_ES,0,0.025,1.566,1.833,0.1,1.945,40,617
Llama-3.2-1B-Instruct,forget01,LoRABiAL_lr3e5_T150,0,0.025,1.655,1.868,0.1,1.982,40,617
